xi,n_init=5,n_init=25,n_init=50
0.001,9517.84344404794,10151.2279960936,5069.388213903224
0.01,3436.173848219022,3814.6098169621578,4203.265123316255
0.05,2265.3369861428278,2417.019538684799,2575.411299992578
0.1,1845.7055608414844,1392.6868569013668,1781.3665682501244
0.2,889.9119664250311,912.9797332084435,853.9702585899504
0.5,863.3987445052124,512.7013952708257,501.4606416756348
1.0,433.24617058094475,434.9152399491785,491.22784970138525
