xi,n_init=5,n_init=25,n_init=50
0.001,8230.703239053762,9520.329055490502,5646.3723927904775
0.01,2659.047780732559,3249.9506338858782,4672.750950532462
0.05,2669.394749660914,2755.6011421994626,3059.12651048064
0.1,1447.4338125003183,1505.603849963757,1452.7251679537953
0.2,952.9006177365693,889.2216821197686,928.7415761709582
0.5,690.7947475141431,482.36214264390907,525.6502901246879
1.0,476.2786190998033,436.0458929067579,466.0150721980116
